,episode,score,avg_score,epsilon
271,271,170.62588004464675,-149.4737445799951,0.01
272,272,209.28860958560887,-144.16875918885438,0.01
273,273,-87.82267653586777,-142.08028564680177,0.01
274,274,-1.0573715437567017,-138.12869485687432,0.01
275,275,214.42831334507446,-133.48462216375412,0.01
276,276,194.79840575233928,-129.25982876717362,0.01
277,277,128.79886260819544,-126.24391416358726,0.01
278,278,185.74642796124738,-121.57062625004436,0.01
279,279,158.71317795098676,-117.49325278593935,0.01
280,280,6.947222070983059,-114.66847211021005,0.01
281,281,-35.62422310564299,-112.36745762924255,0.01
282,282,-12.480754542709859,-109.76799352705147,0.01
283,283,-61.510323082712056,-106.87699477412401,0.01
284,284,-89.1311800324883,-104.67906847202273,0.01
285,285,-6.235837719821494,-102.35002356147159,0.01
286,286,-26.114480969970646,-100.36801397285139,0.01
287,287,-74.05157165288342,-99.11598431876622,0.01
288,288,-41.9527922637982,-97.4927348469806,0.01
289,289,-101.51994289272122,-96.70127363213403,0.01
290,290,-106.97707121701671,-96.05253798633032,0.01
291,291,79.13643561632955,-93.02954369786924,0.01
292,292,200.51138773007438,-89.25696532966957,0.01
293,293,-396.26817468746674,-91.22271008847365,0.01
294,294,-238.93563660809446,-92.08036333996486,0.01
295,295,-28.350469038233527,-92.3128365285703,0.01
296,296,190.74300494943503,-90.04765320332001,0.01
297,297,217.21769920773556,-87.92846051650491,0.01
298,298,-117.99013416234037,-88.89648782196493,0.01
299,299,-121.78664376426698,-91.78164743380187,0.01
300,300,219.9608270725628,-88.5609389714037,0.01
301,301,53.61906084656572,-88.11301991282207,0.01
302,302,-231.72239738497606,-90.74817243634158,0.01
303,303,-373.90224371331783,-97.18766900946797,0.01
304,304,-15.778930932002538,-98.79500843428886,0.01
305,305,-417.23934421817864,-105.11641818196344,0.01
306,306,-389.68872385985736,-111.09603808280292,0.01
307,307,-129.10281225074152,-114.64494660430661,0.01
308,308,-303.606473600411,-117.15822380354912,0.01
309,309,13.2305447142014,-116.59891283515624,0.01
310,310,-433.6342491328192,-120.82618240492266,0.01
311,311,-218.3380033988144,-122.79877301329911,0.01
312,312,-22.294489826365076,-118.54951643883571,0.01
313,313,-60.34910529455598,-118.82896537552007,0.01
314,314,83.30107546604142,-113.31356406629767,0.01
315,315,197.32394782937837,-111.42752793505569,0.01
316,316,62.62828641597717,-109.49090857866688,0.01
317,317,187.4382962305147,-104.82620453693049,0.01
318,318,-281.6404321969394,-106.0221660817389,0.01
319,319,1.6285369639619773,-105.76782669500557,0.01
320,320,12.153520181256937,-105.11110037398653,0.01
321,321,-55.06201665764458,-103.41088747452659,0.01
322,322,-44.59179056402681,-103.686118485047,0.01
323,323,-294.87353739149586,-105.66504417024044,0.01
324,324,-12.74772980478312,-103.10675428563965,0.01
325,325,-245.03952004011595,-102.12353047751449,0.01
326,326,-53.32118454087178,-100.47102745865732,0.01
327,327,-214.55817542995675,-99.46560660427939,0.01
328,328,-41.89297327361758,-95.9622789931579,0.01
329,329,-267.7486128517902,-94.42709750470598,0.01
330,330,-201.1376519570983,-93.61735522452653,0.01
331,331,-198.29267004311282,-91.5115555469901,0.01
332,332,-41.912263179297,-88.37267108155046,0.01
333,333,-108.87747910602744,-86.40295567516476,0.01
334,334,-232.61482366884755,-85.0828165764332,0.01
335,335,-33.775892177577944,-81.99309377540617,0.01
336,336,-145.8406275575376,-80.18336703595554,0.01
337,337,-29.363109037526527,-77.80339313901764,0.01
338,338,-28.2723161081573,-75.33969598964568,0.01
339,339,-128.11644254396805,-73.22582749838472,0.01
340,340,-68.8848726163441,-76.46605454616106,0.01
341,341,-225.1075151735749,-76.37270898738674,0.01
342,342,-273.46360359254373,-75.57737761950465,0.01
343,343,-401.2640634459952,-81.02737053688736,0.01
344,344,-226.94879594319758,-80.7243169800649,0.01
345,345,-78.9418944424238,-79.3887400817346,0.01
346,346,104.89705012770571,-76.47161159428296,0.01
347,347,43.37129580857834,-73.80538208985297,0.01
348,348,-457.08218894375943,-75.32337938606061,0.01
349,349,250.3657827006471,-71.08914579675235,0.01
350,350,-14.422745328194978,-69.33014889475821,0.01
351,351,-275.59704285535105,-71.43948521611213,0.01
352,352,157.3167472573543,-66.69204348793679,0.01
353,353,230.94760286279177,-61.9124889289269,0.01
354,354,-237.36088809902037,-63.596779464780866,0.01
355,355,-126.94002355090139,-62.55192464040228,0.01
356,356,-467.9945253569694,-66.48266815109235,0.01
357,357,162.85795987624567,-64.78632693237843,0.01
358,358,0.7680823034834816,-61.69525783823226,0.01
359,359,167.60293143791904,-61.79698299309663,0.01
360,360,217.9427933231648,-55.88481273198665,0.01
361,361,-24.59665756176509,-55.75992054723826,0.01
362,362,84.05762612376967,-52.55579899504823,0.01
363,363,143.53605922346082,-50.679791938319234,0.01
364,364,191.9882531471952,-50.64515478407848,0.01
365,365,47.52501450149299,-52.059174164568546,0.01
366,366,-28.55623420434878,-51.689730388989176,0.01
367,367,56.0953221075801,-50.931948313596735,0.01
368,368,-273.1429261592573,-53.672500084078344,0.01
369,369,-257.4424680602385,-53.74526758204386,0.01
370,370,-147.67515829977725,-57.41054865851382,0.01
371,371,-123.32508744395184,-60.3500583333998,0.01
372,372,108.50011658689932,-61.35794326338689,0.01
373,373,-27.7462412875597,-60.757178910903804,0.01
374,374,67.36833053479421,-60.072921890118295,0.01
375,375,-214.40633725702133,-64.36126839613925,0.01
376,376,-46.37428865454817,-66.77299534020813,0.01
377,377,-11.279126770318067,-68.17377523399327,0.01
378,378,-165.29457001244046,-71.68418521373013,0.01
379,379,238.16887579842555,-70.88962823525574,0.01
380,380,22.04899846166228,-70.73861047134895,0.01
381,381,-81.60653338626656,-71.19843357415519,0.01
382,382,50.90865307545812,-70.56453949797351,0.01
383,383,140.87737450588847,-68.5406625220875,0.01
384,384,144.31150073989005,-66.20623571436371,0.01
385,385,208.44697050489737,-64.05940763211653,0.01
386,386,-138.5763785619521,-65.18402660803635,0.01
387,387,193.196339935225,-62.51154749215526,0.01
388,388,208.41154297510298,-60.00790413976626,0.01
389,389,-48.1189071248029,-59.47389378208707,0.01
390,390,-79.8631151908927,-59.202754221825835,0.01
391,391,-67.95302699058374,-60.673648847894974,0.01
392,392,-42.99644653194734,-63.10872719051519,0.01
393,393,81.02006842309575,-58.335844759409554,0.01
394,394,203.81408261946416,-53.90834756713397,0.01
395,395,248.54493473701555,-51.13939352938148,0.01
396,396,-0.585969190372734,-53.05268327077955,0.01
397,397,5.326774624187999,-55.17159251661503,0.01
398,398,239.2571767291036,-51.59911940770059,0.01
399,399,212.75377993783718,-48.25371517067954,0.01
400,400,155.99921553246205,-48.89333128608057,0.01
401,401,207.78002897717414,-47.351721604774475,0.01
402,402,203.83735632275855,-42.99612406769714,0.01
403,403,234.76161098272686,-36.90948552073669,0.01
404,404,-78.45052496907049,-37.53620146110736,0.01
405,405,144.9751451710649,-31.914056567214924,0.01
406,406,242.2468692881177,-25.59470063573518,0.01
407,407,250.21647877514243,-21.801507725476334,0.01
408,408,249.8979374507279,-16.26646361496495,0.01
409,409,230.27711916120015,-14.095997870494962,0.01
410,410,237.3698411865808,-7.38595696730096,0.01
411,411,-80.55796362368693,-6.008156569549685,0.01
